City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
183,pontes e lacerda,-15.2261,-59.3353,27.81,54,30,2.14,BR,1715032792
184,zouerate,22.7187,-12.4521,30.67,8,84,3.19,MR,1715032948
185,ibshaway,29.358,30.6814,18.61,55,10,5.48,EG,1715032852
186,bilibino,68.0546,166.4372,-3.56,93,84,1.02,RU,1715032948
187,vilyuchinsk,52.9306,158.4028,3.15,84,99,2.26,RU,1715032948
188,enoch,37.7733,-113.0244,15.26,31,0,4.12,US,1715032948
189,praia da vitoria,38.7333,-27.0667,19.14,94,75,12.03,PT,1715032948
190,mongo,12.1844,18.693,31.21,11,0,0.98,TD,1715032949
191,notodden,59.5594,9.2585,9.84,90,100,0.34,NO,1715032949
192,kourou,5.1552,-52.6478,28.03,92,100,3.33,GF,1715032807
193,fale old settlement,-9.3852,-171.2468,30.02,75,30,5.44,TK,1715032949
194,rio grande,-32.035,-52.0986,20.06,96,79,2.11,BR,1715032949
195,acarau,-2.8856,-40.12,26.07,83,100,3.47,BR,1715032949
196,brak,27.5496,14.2714,26.39,24,73,3.74,LY,1715032949
197,okha,53.5739,142.9478,-0.42,83,7,3.58,RU,1715032949
198,hithadhoo,-0.6,73.0833,29.33,73,99,3.41,MV,1715032950
199,kununurra,-15.7667,128.7333,17.99,82,83,0.0,AU,1715032950
200,poyang,28.9924,116.6675,19.75,86,100,1.97,CN,1715032950
201,rikaze,29.25,88.8833,5.87,67,99,1.48,CN,1715032950
202,prince george,53.9166,-122.753,11.46,55,100,6.69,CA,1715032665
203,north bend,43.4065,-124.2243,12.73,76,100,6.17,US,1715032808
204,hotan,37.0997,79.9269,21.18,21,98,4.38,CN,1715032950
205,batibo,5.8358,9.8553,20.67,88,75,0.27,CM,1715032951
206,malvan,16.0667,73.4667,26.72,85,1,5.04,IN,1715032951
207,alto barinas,8.5931,-70.2261,29.56,68,84,0.62,VE,1715032951
208,constantia,44.1833,28.65,10.39,77,67,7.32,RO,1715032816
209,waat,51.1454,6.4958,14.39,96,100,1.54,DE,1715032951
210,saynshand,44.8824,110.1163,14.56,20,31,1.1,MN,1715032951
211,tshabong,-26.05,22.45,20.7,25,0,4.0,BW,1715032951
212,payakumbuh,-0.2202,100.6308,22.4,98,100,1.22,ID,1715032952
213,shuangjiang,26.1547,109.7138,17.82,98,88,0.29,CN,1715032952
214,port mathurin,-19.6833,63.4167,25.83,72,70,10.81,MU,1715032952
215,cabedelo,-6.9811,-34.8339,27.37,86,100,4.69,BR,1715032838
216,manado,1.487,124.8455,24.43,100,40,0.51,ID,1715032952
217,hammerfest,70.6634,23.6821,-1.75,93,75,2.57,NO,1715032952
218,gadzhiyevo,69.2551,33.3362,-3.09,64,100,7.3,RU,1715032952
219,ouarzazat,30.9189,-6.8934,26.16,14,0,3.6,MA,1715032953
220,ha'il,27.5219,41.6907,24.01,19,0,4.12,SA,1715032953
221,lisala,2.15,21.5167,25.87,59,47,0.69,CD,1715032953
222,agua dulce,18.1333,-94.1333,30.88,48,11,7.36,MX,1715032953
223,enriquillo,17.9,-71.2333,29.82,71,1,3.5,DO,1715032953
224,simpang,-1.2667,104.0833,23.66,100,100,2.56,ID,1715032953
225,tazacorte,28.629,-17.9293,22.86,72,0,3.6,ES,1715032953
226,laguna,38.421,-121.4238,23.08,36,0,3.6,US,1715032954
227,artesia,33.8658,-118.0831,28.27,50,0,6.17,US,1715032954
228,port augusta,-32.5,137.7667,12.43,67,0,2.62,AU,1715032954
229,palmer,42.1584,-72.3287,23.34,56,75,3.6,US,1715032685
230,sorong,-0.8833,131.25,25.37,93,100,10.67,ID,1715032954
231,aasiaat,68.7098,-52.8699,-8.82,84,91,2.57,GL,1715032954
232,antsiranana,-12.2787,49.2917,24.83,78,100,7.7,MG,1715032954
233,valley center,33.2184,-117.0342,24.03,55,5,1.79,US,1715032955
234,zaozersk,69.4005,32.4476,-6.21,77,100,3.34,RU,1715032955
235,richards bay,-28.783,32.0377,20.23,74,0,4.21,ZA,1715032955
236,aksuat,48.7167,83.7,8.29,76,72,3.06,KZ,1715032955
237,korenevo,55.6719,38.0078,5.4,56,75,6.0,RU,1715032955
238,kavaratti,10.5669,72.642,30.41,67,71,3.47,IN,1715032955
239,port huron,42.9709,-82.4249,17.23,53,40,4.12,US,1715032900
240,cortland,42.6001,-76.083,19.82,30,0,2.06,US,1715032733
241,le port,-20.9373,55.2919,23.98,72,5,2.56,RE,1715032956
242,kill devil hills,36.0307,-75.676,26.0,86,100,7.72,US,1715032661
243,urangan,-25.3,152.9,17.89,92,9,3.13,AU,1715032956
244,puerto santander,8.3636,-72.4063,35.67,72,100,2.12,CO,1715032956
245,hamada,34.8833,132.0833,16.6,89,64,6.84,JP,1715032956
246,college,64.8569,-147.8028,1.36,89,100,3.6,US,1715032956
247,punta arenas,-53.15,-70.9167,4.06,87,75,2.06,CL,1715032956
248,salacgriva,57.7536,24.3581,3.79,69,80,3.97,LV,1715032957
249,rawai,7.7797,98.3253,27.06,73,60,1.18,TH,1715032957
250,levuka,50.1834,-105.4011,10.9,93,100,4.63,CA,1715032957
251,mar del plata,-38.0023,-57.5575,14.49,88,75,3.6,AR,1715032666
252,lihue,21.9789,-159.3672,27.58,72,65,6.84,US,1715032957
253,sao paulo de olivenca,-3.3783,-68.8725,25.85,98,100,1.08,BR,1715032957
254,mount isa,-20.7333,139.5,17.87,45,46,2.57,AU,1715032958
255,invercargill,-46.4,168.35,7.79,94,96,4.47,NZ,1715032958
256,ust'-ilimsk,58.0006,102.6619,6.91,79,4,4.02,RU,1715032958
257,holualoa,19.6228,-155.9522,24.75,78,26,3.42,US,1715032958
258,ivanivka,46.7208,34.553,9.67,64,70,3.84,UA,1715032958
259,ullal,12.8,74.85,29.53,79,40,1.54,IN,1715032958
260,ryotsu-minato,38.0833,138.4333,15.25,90,100,2.26,JP,1715032958
261,undurkhaan,47.3194,110.6556,11.89,32,46,1.91,MN,1715032958
262,avarua,-21.2078,-159.775,28.03,89,75,5.66,CK,1715032959
263,benguela,-12.5763,13.4055,24.87,85,18,1.79,AO,1715032959
264,hilo,19.7297,-155.09,25.05,88,100,1.54,US,1715032959
265,puerto baquerizo moreno,-0.9,-89.6,29.55,62,20,5.66,EC,1715032937
266,guerrero negro,27.9769,-114.0611,18.81,55,28,8.65,MX,1715032959
267,altamont,42.2068,-121.7372,13.2,78,98,3.13,US,1715032820
268,flying fish cove,-10.4217,105.6791,25.82,88,100,4.63,CX,1715032960
269,caleta de carquin,-11.0925,-77.6267,21.14,80,48,4.81,PE,1715032960
270,afif,23.9065,42.9172,23.68,16,0,6.02,SA,1715032960
271,uaua,-9.8414,-39.4817,25.07,51,100,5.04,BR,1715032933
272,tabarka,36.9544,8.758,19.36,88,40,1.54,TN,1715032960
273,elliot lake,46.3834,-82.6331,16.69,41,77,3.35,CA,1715032890
274,akureyri,65.6835,-18.0878,6.96,57,20,5.66,IS,1715032961
275,saint-denis,48.9167,2.3333,13.01,80,0,2.57,FR,1715032961
276,bodo,67.28,14.405,5.43,58,0,5.14,NO,1715032961
277,tadine,-21.55,167.8833,23.72,62,6,4.99,NC,1715032961
278,laojunmiao,39.8333,97.7333,12.15,25,52,2.3,CN,1715032961
279,usinsk,65.9939,57.5281,-5.52,77,100,7.6,RU,1715032962
280,kyren,51.6828,102.1408,15.53,45,78,2.68,RU,1715032962
281,devils lake,48.1128,-98.8651,18.99,58,100,9.26,US,1715032759
282,hengchun,22.0042,120.7439,26.78,79,100,3.12,TW,1715032962
283,zinjibar,13.1287,45.3807,29.59,76,58,3.24,YE,1715032962
284,las terrenas,19.311,-69.5428,28.93,89,40,3.09,DO,1715032868
285,chelbasskaya,45.9792,39.3719,9.6,70,17,1.76,RU,1715032963
286,la ronge,55.1001,-105.2842,15.14,41,75,6.17,CA,1715032963
287,nemuro,43.3236,145.575,6.26,100,100,3.64,JP,1715032963
288,sept-iles,50.2001,-66.3821,8.0,88,75,2.57,CA,1715032963
289,mejit,10.2753,170.8646,27.36,82,98,9.29,MH,1715032963
290,kindu,-2.95,25.95,23.53,74,88,0.53,CD,1715032963
291,soio,-6.1349,12.3689,26.34,90,40,1.79,AO,1715032964
292,kenora,49.8167,-94.4337,21.54,30,75,6.71,CA,1715032838
293,aguas vermelhas,-15.7472,-41.46,18.59,91,29,1.54,BR,1715032964
294,pocahontas,36.2615,-90.9712,27.81,78,100,2.57,US,1715032809
295,roshchino,60.2519,29.6085,2.21,62,38,1.38,RU,1715032964
296,djibouti,11.5,42.5,27.19,70,33,4.27,DJ,1715032964
297,muroto-misakicho,33.2833,134.15,20.82,95,100,4.82,JP,1715032964
298,yarmouth,41.7057,-70.2286,19.52,83,0,5.66,US,1715032902
299,egilsstadir,65.2653,-14.3948,5.95,65,20,3.6,IS,1715032965
300,san felipe,10.3399,-68.7425,25.85,90,97,2.43,VE,1715032965
301,argo,37.6333,22.7333,15.91,64,38,1.54,GR,1715032965
302,motueka,-41.1333,173.0167,8.39,66,29,1.31,NZ,1715032965
303,konosha,60.9736,40.257,-4.49,78,49,0.88,RU,1715032965
304,tupancireta,-29.0806,-53.8358,20.76,88,37,3.52,BR,1715032965
305,boali,4.8005,18.1275,28.47,41,22,0.57,CF,1715032965
306,sinabang,2.4803,96.3801,26.33,89,100,2.48,ID,1715032966
307,chandler,33.3062,-111.8412,29.58,12,0,4.12,US,1715032919
308,prey veng,11.4868,105.3253,27.34,73,16,2.36,KH,1715032966
309,weno,7.4515,151.8468,28.8,78,99,6.24,FM,1715032966
310,chebba,35.2372,11.115,19.86,76,97,5.62,TN,1715032966
311,al qusiyah,27.4402,30.8184,22.15,30,3,3.29,EG,1715032966
312,mirnyy,62.5353,113.9611,2.91,99,100,6.71,RU,1715032966
313,pemangkat,1.1667,108.9667,26.12,87,9,1.78,ID,1715032966
314,porto novo,6.4965,2.6036,28.9,79,100,2.57,BJ,1715032967
315,keflavik,64.0049,-22.5624,5.95,87,75,8.75,IS,1715032967
316,lehighton,40.8337,-75.7138,23.15,76,40,1.54,US,1715032708
317,sokode,8.9833,1.1333,27.84,69,0,1.03,TG,1715032967
318,sainte-anne-des-monts,49.124,-66.4924,8.93,76,62,7.2,CA,1715032967
319,sisimiut,66.9395,-53.6735,-4.34,78,84,3.25,GL,1715032967
320,grants,35.1473,-107.8514,16.13,10,0,7.72,US,1715032967
321,galveston,29.3669,-94.9669,29.54,82,100,6.17,US,1715032771
322,westport,41.1415,-73.3579,23.16,81,40,3.09,US,1715032967
323,east london,-33.0153,27.9116,21.84,53,0,0.16,ZA,1715032968
324,tolanaro,-25.0319,46.9987,23.04,83,20,5.66,MG,1715032968
325,turpan,42.9333,89.1667,25.83,26,78,0.23,CN,1715032968
326,konigsbronn,48.7432,10.1119,12.3,96,99,3.05,DE,1715032968
327,kalix,65.853,23.1565,-4.05,93,100,2.38,SE,1715032969
328,broome,42.2506,-75.833,20.56,48,0,5.14,US,1715032969
329,villamontes,-21.25,-63.5,33.69,52,37,4.12,BO,1715032969
330,port alfred,-33.5906,26.891,19.39,86,0,1.64,ZA,1715032969
331,sandpoint,48.2766,-116.5533,12.46,73,75,3.6,US,1715032969
332,kingston,17.997,-76.7936,30.53,74,20,9.77,JM,1715032955
333,quellon,-43.1167,-73.6167,6.17,91,100,2.27,CL,1715032876
334,orange,33.7,-117.7675,28.17,52,20,4.63,US,1715032868
335,hamilton,39.1834,-84.5333,22.09,89,100,1.35,US,1715032845
336,klaksvik,62.2266,-6.589,6.51,76,69,6.1,FO,1715032970
337,alajarvi,63.0,23.8167,-3.0,85,8,2.18,FI,1715032970
338,hualien city,23.9769,121.6044,24.06,75,100,2.57,TW,1715032911
339,paramonga,-10.6667,-77.8333,20.72,81,39,4.23,PE,1715032970
340,nizhniy kuranakh,58.8353,125.4869,6.51,87,100,1.83,RU,1715032970
341,nueva gerona,21.8833,-82.8,30.86,56,1,4.52,CU,1715032970
342,nicoya,10.1483,-85.452,32.82,54,79,3.93,CR,1715032971
343,skiathos,39.1623,23.4909,18.87,68,0,2.3,GR,1715032971
344,oranjemund,-28.55,16.4333,14.65,76,0,1.58,NA,1715032971
345,darwin,-12.4611,130.8418,22.99,67,0,3.6,AU,1715032676
346,jequie,-13.8575,-40.0836,21.31,86,11,1.24,BR,1715032797
347,ilanskiy,56.2358,96.065,4.02,72,35,0.89,RU,1715032971
348,axim,4.8699,-2.2405,27.84,82,98,2.84,GH,1715032971
349,beau vallon,-20.4189,57.6953,25.13,69,40,6.69,MU,1715032971
350,irymple,-34.25,142.1667,12.3,59,0,4.06,AU,1715032972
351,karratha,-20.7377,116.8463,24.29,46,24,2.99,AU,1715032972
352,lethbridge,49.7,-112.8186,16.06,36,100,15.43,CA,1715032972
353,qamdo,31.1667,97.2333,2.34,76,39,1.99,CN,1715032972
354,taoudenni,22.6783,-3.9836,32.44,6,11,3.7,ML,1715032972
355,tocopilla,-22.092,-70.1979,19.38,75,64,3.06,CL,1715032709
356,dickinson,29.4608,-95.0513,30.07,82,75,8.75,US,1715032972
357,xique xique,-10.8217,-42.7311,27.48,54,92,3.01,BR,1715032973
358,kailua-kona,19.6406,-155.9956,26.82,79,25,1.79,US,1715032973
359,kot mumin,32.1895,73.028,27.75,26,0,1.29,PK,1715032973
360,arica,-18.475,-70.3042,20.75,72,100,3.6,CL,1715032728
361,smithers,54.7804,-127.1743,9.18,53,75,6.17,CA,1715032918
362,badger,64.8,-147.5333,1.31,90,100,3.6,US,1715032973
363,grand baie,-20.0182,57.5802,25.26,75,33,2.68,MU,1715032973
364,ulladulla,-35.35,150.4667,14.38,79,100,1.85,AU,1715032973
